2018-08-21 21:12:48 status unpacked gzip:amd64 1.6-5ubuntu1
2018-08-21 21:12:48 status unpacked gzip:amd64 1.6-5ubuntu1
2018-08-21 21:12:48 install hostname:amd64 <none> 3.20
2018-08-21 21:12:48 status half-installed hostname:amd64 3.20
2018-08-21 21:12:48 status unpacked hostname:amd64 3.20
2018-08-21 21:12:48 status unpacked hostname:amd64 3.20
2018-08-21 21:12:48 install init-system-helpers:all <none> 1.51
2018-08-21 21:12:48 status half-installed init-system-helpers:all 1.51
2018-08-21 21:12:48 status unpacked init-system-helpers:all 1.51
2018-08-21 21:12:48 status unpacked init-system-helpers:all 1.51
2018-08-21 21:12:48 install libacl1:amd64 <none> 2.2.52-3build1
2018-08-21 21:12:48 status half-installed libacl1:amd64 2.2.52-3build1
2018-08-21 21:12:48 status unpacked libacl1:amd64 2.2.52-3build1
2018-08-21 21:12:48 status unpacked libacl1:amd64 2.2.52-3build1
2018-08-21 21:12:48 install libattr1:amd64 <none> 1:2.4.47-2build1
2018-08-21 21:12:48 status half-installed libattr1:amd64 1:2.4.47-2build1
2018-08-21 21:12:48 status unpacked libattr1:amd64 1:2.4.47-2build1
2018-08-21 21:12:48 status unpacked libattr1:amd64 1:2.4.47-2build1
2018-08-21 21:12:48 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2018-08-21 21:12:48 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2018-08-21 21:12:48 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2018-08-21 21:12:48 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2018-08-21 21:12:48 install libaudit1:amd64 <none> 1:2.8.2-1ubuntu1
2018-08-21 21:12:48 status half-installed libaudit1:amd64 1:2.8.2-1ubuntu1
2018-08-21 21:12:48 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2018-08-21 21:12:48 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2018-08-21 21:12:48 install libblkid1:amd64 <none> 2.31.1-0.4ubuntu3
2018-08-21 21:12:48 status half-installed libblkid1:amd64 2.31.1-0.4ubuntu3
2018-08-21 21:12:48 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2018-08-21 21:12:48 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2018-08-21 21:12:48 install libbz2-1.0:amd64 <none> 1.0.6-8.1
2018-08-21 21:12:48 status half-installed libbz2-1.0:amd64 1.0.6-8.1
2018-08-21 21:12:48 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2018-08-21 21:12:48 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2018-08-21 21:12:48 install libc-bin:amd64 <none> 2.27-3ubuntu1
2018-08-21 21:12:48 status half-installed libc-bin:amd64 2.27-3ubuntu1
2018-08-21 21:12:48 status unpacked libc-bin:amd64 2.27-3ubuntu1
2018-08-21 21:12:48 status unpacked libc-bin:amd64 2.27-3ubuntu1
2018-08-21 21:12:48 upgrade libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2018-08-21 21:12:48 status half-configured libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:48 status unpacked libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:48 status half-installed libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:49 status half-installed libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:49 status unpacked libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:49 status unpacked libc6:amd64 2.27-3ubuntu1
2018-08-21 21:12:49 install libcap-ng0:amd64 <none> 0.7.7-3.1
2018-08-21 21:12:49 status half-installed libcap-ng0:amd64 0.7.7-3.1
2018-08-21 21:12:49 status unpacked libcap-ng0:amd64 0.7.7-3.1
2018-08-21 21:12:49 status unpacked libcap-ng0:amd64 0.7.7-3.1
2018-08-21 21:12:49 install libcom-err2:amd64 <none> 1.44.1-1
2018-08-21 21:12:49 status half-installed libcom-err2:amd64 1.44.1-1
2018-08-21 21:12:49 status unpacked libcom-err2:amd64 1.44.1-1
2018-08-21 21:12:49 status unpacked libcom-err2:amd64 1.44.1-1
2018-08-21 21:12:49 install libdb5.3:amd64 <none> 5.3.28-13.1ubuntu1
2018-08-21 21:12:49 status half-installed libdb5.3:amd64 5.3.28-13.1ubuntu1
